id,org,programme,ask_type,window,fit,collision,status,source_url,accessed_at,confidence,reverify_after,claim_ids,artifact_path,resume_variant,ask_one_liner,eligibility_note,notes
opp-newday-2028-watch,Nansen Academy,NEWDAY (Nansen East-West Dialogue Academy),academy,summer-2028,high,none,watch,https://nansenskolen.no/kurs/,2026-08-22,high,2027-11-01,claim-newday-2026-dates;claim-newday-no-2027,,,Do not apply in 2027; watch for 2028 call,East Asia and Nordic university students historically,Kurs page 2026-08-22 still lists only 29 Jul-6 Aug 2026; traveler-provided biennial after 2024 relaunch
opp-horizons-newday-funding,HKU Horizons,NEWDAY sponsorship (historical 2024 cycle),funding,summer-2028,medium,none,watch,https://tl.hku.hk/horizons/newday2024/,2026-08-22,medium,2027-11-01,,,,Watch Dec 2027-Jan 2028 if a 2028 academy is announced; do not expect Dec 2026,Full-time HKU UG in 2024 cycle,2024 window 11 Dec 2023-7 Jan 2024 for 3 students; not a 2027 promise
opp-eass-2027-watch,KU Leuven / Seoul National University,Euro-Asia Summer School,academy,summer-2027,high,LiA,watch,https://ghum.kuleuven.be/ggs/research/euro_asia_summerschool/summer-school-2026,2026-08-22,medium,2026-12-01,,,,Watch 19th edition page when published,Confirm 2027 eligibility on official page,2026 ran 17-29 Aug; rolling until 20 May 2026; 2026 is closed; not a 2027 fact
opp-asefyls-2027-watch,Asia-Europe Foundation,ASEFYLS / Arctic in-person training,academy,summer-2027,medium,LiA,watch,https://asef.org/projects/asefyls-capacity-training-2026/,2026-08-22,medium,2026-12-01,,,,Watch next ASEFYLS cycle,Often youth/student organisation representatives; 2026 Tromso was 40 people after online phase,2026 online 9 Jun-30 Jul; Tromso 23-29 Aug; do not copy eligibility forward unread
opp-alpbach-2027-watch,European Forum Alpbach,EFA scholarship / forum,academy,summer-2027,medium,LiA,watch,https://www.alpbach.org/efa26,2026-08-22,medium,2026-12-01,,,,Watch EFA27 page when published; do not apply to EFA26,First-time scholarship holders; age caps on FAQ page,EFA26 forum 24 Aug-4 Sep 2026; scholarship window was 2-22 Mar 2026; 2026 is not 2027
opp-link-s-protected,HKU LINK,LINK-S Shanghai immersion,academy,protected,high,LINK-S,watch,https://tl.hku.hk/link/schedule,2026-08-22,high,2026-09-04,claim-link-s-dates;claim-link-enrollment-r2,,,Do not hunt a second full internship against this block,HKU UG,Official: 27 Dec 2026-16 Jan 2027 (3 weeks). Round 2 enrolment 15 Aug-4 Sep 2026 23:59 at https://tl.hku.hk/link/enrollment
opp-link-v-2027,HKU LINK,LINK-V Ho Chi Minh City immersion,academy,summer-2027,high,LiA,watch,https://tl.hku.hk/link/schedule,2026-08-22,high,2027-04-01,claim-link-v-dates,,,Only if Semester 2 LINK instead of LINK-S; flag vs unpublished LiA,HKU UG,Official: 1-20 June 2027 (3 weeks). May sit before a Jul-Aug LiA if 2027 LiA looks like 2026 — unpublished
opp-lia-makesense-protected,Laidlaw / makesense,Leadership in Action Peace and Social Resilience,internship,protected,high,LiA,watch,https://laidlawscholars.network/,2026-08-22,low,2026-11-01,,,,Do not silently drop; flag summer collisions,Laidlaw scholars,Medellin / Mexico City planned; 2026 makesense pages are not 2027 dates; do not speak of LiA as completed
opp-gest-valencia-2026,United Scientific Group,GEST 2026,academy,protected,high,GEST,watch,https://gest.unitedscientificgroup.org/speakers,2026-08-22,high,2026-08-27,claim-gest-dates;claim-gest-speaker,,,October hold; speaker listing includes Shen Ruililin HKU,Invited speaker already listed,Dates 19-21 Oct 2026 Barcelo Valencia hybrid; mid-term registration chrome 27 Aug 2026 is not a confirmed speaker deadline
opp-laidlaw-london-2026,Laidlaw Foundation / Imperial,Annual conference London,academy,protected,high,Laidlaw-London,watch,https://www.kingselab.org/laidlaw,2026-08-22,medium,2026-09-15,claim-laidlaw-london-kings,,,October hold 16-18 Oct 2026 on King's E-Lab Cambridge page,HKU Laidlaw scholar,Foundation page still says usually end of October; confirm with HKU coordinator not with Scout
