Name,Cuisine,Neighbourhood,Address,Tier,Price,Book,Sun16,Mon17,Tue18,Wed19,Thu20,Why Bob,Order / note,URL,Hours source,Must
Ekberg Café,Bakery / brunch,Punavuori,Bulevardi 9,icon,VERIFY,Book brunch,Brunch 9–14:30; café 9–18,Breakfast 7:30–10:30; café 7:30–19,same,same,same,Oldest café — first impression without tourist log-cabin,Brunch plate,https://www.ekberg.fi/,Official 9.8–6.9.2026 summer hours,10
Karl Fazer Café,Café / chocolate,Kluuvi,Kluuvikatu 3,icon,VERIFY,Walk-in,10–20,7:30–22,7:30–22,7:30–22,7:30–22,"1891 room; weekend brunch advertised, sitting hours not printed",Salmon soup + pastry VERIFY,https://www.fazer.fi/fazer-cafe/kahvilat/karl-fazer-cafe/,Official café hours,8
Levain Merikortteli,Bakery / eatery,Punavuori,Pursimiehenkatu 29–31,neighbourhood,VERIFY,Walk-in / book,8:30–16:30,8:00–16:30,8:00–16:30,8:00–16:30,8:00–16:30,Sourdough backup if Ekberg slammed,Cardamom bun + savoury,https://www.levain.fi/contact,Official,6
Levain Ullanlinna,Bakery / eatery,Ullanlinna,Korkeavuorenkatu 21,neighbourhood,VERIFY,Walk-in,8–16,8–16,8–16,8–16,8–16,Next door to ADM — Tuesday lunch,Sourdough lunch,https://www.levain.fi/contact,Official,7
Georgian Kitchen,Georgian,Punavuori,Albertinkatu 7,neighbourhood,VERIFY,Book,13–22,15–23,15–23,15–23,15–23,Family table; prefer over the chain,Khachapuri + khinkali,https://www.georgiankitchen.fi/,Official,10
Rioni,Georgian,Kaartinkaupunki,Kasarmikatu 25,hot,VERIFY,Book,13–22,16–23,16–23,16–23,16–23,Open Sunday; chain; courtyard,Same supra logic,https://www.rioni.fi/en-gb/helsinki,Official,8
Georgian Supra,Georgian / wine,Kallio,Hämeentie 36,hot,VERIFY,Book,14–21*,CLOSED*,16–22*,16–22*,16–22*,Kallio night energy. Hours from TableOnline 12.5.2026 — VERIFY,Supra + qvevri,https://www.georgiansupra.fi/,Official address; hours secondary,7
Gaijin,North Asia / Levant-leaning sharing,Punavuori,Bulevardi 6,hot,VERIFY,Book,Dinner 15:00; kitchen 21:00,Dinner 16:30 (lunch closed),Lunch MAY resume; dinner 16:30,Dinner 16:30,Dinner 16:30,Serious cooking next to Ekberg. Not Georgian. Lunch closed 22.6–17.8.2026.,Sharing plates,https://www.gaijin.fi/reservation,Official contact/reservation,8
Nolla,Nordic zero-waste,Punavuori,Fredrikinkatu 22,icon,VERIFY in booker,Book,CLOSED*,CLOSED*,Dinner ~17:30*,Dinner*,Leave 15:00,Bib Gourmand; thesis kitchen; official site has no hours table,Chef's Choice,https://restaurantnolla.com/reservations/,Hours: Michelin listing (secondary),10
Grön,Forage Nordic,Punavuori,Albertinkatu 36,icon,188e menu official,Book (hard),CLOSED,CLOSED,CLOSED,Dinner*,Leave 15:00,Official summer 2026 menu 188e + vegan 188e preorder. Wine pairing 142e.,Set (request vegan in booker if needed),https://dinnerbooking.com/fi/en-US/r3904/restaurant-gron,Menu official; hours secondary,9
Skörd,Hyperlocal Finnish,Punavuori,Fredrikinkatu 37,icon,86e seven-course official; Mon–Thu 72e four-course,Book TableOnline,CLOSED*,Dinner 17–00*,Dinner*,Dinner*,too late,Only Finnish ingredients (no pepper/avocado). The rational splurge under 100e. Not vegan/dairy-free.,Seven-course 86e,https://xn--skrd-6qa.fi/en/food/,Official menu; hours Time Out Mon–Sat 17–00,9
Kuurna,Nordic bistro,Kruununhaka,Meritullinkatu 6,hot,2 courses from 46e; 3 from 54e official,Book,CLOSED,17–23 kitchen 21:00,17–23,17–23,too late,Open Monday when Nolla is shut. Menu 12.8–1.9.2026 on official page.,3 courses; tartare +4e,https://www.kuurna.fi/in-english,Official,8
Muru,Bistro / wine,Punavuori,Fredrikinkatu 41,hot,Menu of the Day 59e official,Book,CLOSED*,CLOSED*,Dinner*,Dinner*,too late,Helsinki bistro classic. Closed days VERIFY (often Sun–Mon).,Four-course 59e,https://murudining.fi/en/,Official menu price; closed days VERIFY,7
Latitude 25,Omakase,Punavuori,Albertinkatu 19,icon,119e without drinks official,Book mandatory,CLOSED,CLOSED,CLOSED,17:00–21:30,Leave 15:00,14-seat counter. 119e card guarantee. Cannot do vegetarian/vegan/no-raw-fish.,Omakase,https://www.latitude25.fi/booking/,Official hours + 2026 price,7
Shii,Omakase / otsumami,Kaartinkaupunki,Fabianinkatu 17,icon,98e menu official,Book DinnerBooking,VERIFY,VERIFY,VERIFY,VERIFY,Leave 15:00,11-course. Cannot be vegetarian. Do NOT copy Latitude's Sun–Tue closure onto Shii.,Omakase; sake pairing 62e official,https://shii.fi/menu,Official menu/price; weekly hours not published — VERIFY in booker,7
Hanayagi Omakase,Aged sushi omakase,Kaartinkaupunki,Kasarmikatu 25,icon,150e course official booker,Reservation only,CLOSED*,CLOSED*,18:00–20:30*,18:00–20:30*,too late,Eight seats. Tuesday sushi alternative if Nolla is full. Hours from TableOnline — VERIFY.,Omakase,https://www.tableonline.fi/en/helsinki/hanayagi-omakase/1689/book,TableOnline hours; official concept page,6
Domo,Sushi à la carte,Kamppi,Kalevankatu 21,neighbourhood,VERIFY (2024 PDFs stale),Email / phone,CLOSED,11–14:30 & 17–21,same,same,lunch if buffer,"À la carte, not buffet. July 2026 local coverage confirms it is active.",Nigiri / bento,http://www.domoravintola.fi/,Official hours,6
Restaurant Lia,Modern Georgian,Erottaja,Erottajankatu 2 (enter Uudenmaankatu),hot,VERIFY,Book / call,15–22,CLOSED?*,CLOSED,16–22,too late,"Georgian backup. Official pages conflict on Monday; contact page says open, venue page says Mon–Tue closed.",Khachapuri / supra,https://www.ravintolalia.fi/en-gb/helsinki,Official pages conflict Mon — VERIFY,6
Katana Ramen,Ramen,Punavuori / Telakka,Telakkakatu 12,hot,VERIFY,Walk-in,CLOSED?*,11–21*,11–21*,11–21*,11–21*,Dedicated ramen after Momotoko died. HS reviewed Jul 2026. Sunday omitted on Falstaff — not an official closure.,Tonkotsu,katanaramenclub@gmail.com,Falstaff hours (secondary),8
Bui Ramen,Ramen / mazemen,Kalasatama,Aallonhalkoja 1 L T 2,neighbourhood,Bui Paitan 17.90€ official,Walk-in / book,12–20,11–21,11–21,11–21,11–21,Handmade noodles; not central — only if east,Bui Paitan,https://buiramen.fi/,Official,5
