Place,Must_0_10,Kind
Ekberg brunch,10,Meal
Nolla,10,Meal
Suomenlinna,10,Place
Amos Rex,9,Place
Georgian Kitchen,9,Meal
Löyly,9,Place
ADM Design Museum,9,Place
Grön,9,Meal
Skörd,9,Meal
Katana Ramen,8,Meal
Sea Horse,8,Meal
Gaijin,8,Meal
Oodi,7,Place
Latitude / Shii,7,Meal
Ateneum free Thu,6,Place
Cathedral day,2,Skip
Momotoko,0,Skip
Neighbourhood,Must_places_on_shortlist,
Punavuori / Design District,8,
Kamppi / Lasipalatsi,3,
Ullanlinna / Kaartinkaupunki,4,
Suomenlinna,1,
Hernesaari,1,
Kallio,4,
Töölö,2,
Kalasatama (out of way),1,
