Day,Date,Block,Time,Plan,Neighbourhood,Eat,Book?,Backup,Notes
1 Sun,2026-08-16,Arrive,10:30–11:15,Olympia Terminal → walk/tram into Punavuori. Bags if hotel ready; else cloak VERIFY hotel. Do not museum yet.,South Harbour,"Fruit from the ship is a snack, not lunch.",Walk,Any bakery on Bulevardi if Ekberg queue,Inside cabin hangover. Terminal food = bad first impression.
1 Sun,2026-08-16,Brunch,11:30–13:30,"EKBERG CAFÉ, Bulevardi 9. Oldest café (1852). Official summer café Sun 9–18 (9.8–6.9.2026). Official brunch Sat–Sun 9:00–14:30. Book the table.",Punavuori,Brunch plate / coffee + savoury. VERIFY buffet still running.,BOOK ekberg.fi table reservation (Quandoo),Fazer Kluuvikatu 3 (Sun 10–20) or Levain Merikortteli Sat–Sun 8:30–16:30,This is the first impression. ~15 min walk from Olympia via Design District.
1 Sun,2026-08-16,Museum,13:45–16:45,"AMOS REX, Mannerheimintie 22–24. Closed Tuesday so do it TODAY. Sun 11–17 — do not linger past 16:30. Generation 2026 (13 May–6 Sep 2026).",Kamppi / Lasipalatsi,Museum café only if still hungry,Ticket amosrex.fi — 18–29 / students €5 official,Oodi if Rex queue insane,Night of the Arts late opening is Thu 20 11–23 — you will have left.
1 Sun,2026-08-16,Civic,17:00–18:30,"Oodi, Töölönlahdenkatu 4. Free. Official Sun 10–20. Then shower/reset.",Kansalaistori,—,No,Walk Töölönlahti,Don't make a day of Temppeliaukio.
1 Sun,2026-08-16,Dinner,19:00–21:30,"GEORGIAN KITCHEN, Albertinkatu 7. Family. Official Sun 13–22. Prefer over Rioni (chain, also Sun 13–22, Kasarmikatu 25).",Punavuori,Khachapuri + khinkali + amber wine. Don't cut khinkali.,BOOK +358 50 383 3228 / georgiankitchen.fi,Rioni; Gaijin Bulevardi 6 from 15:00 (kitchen Sun to 21:00),"Gaijin is better cooking, not Georgian. Lunch there is closed 22.6–17.8.2026."
2 Mon,2026-08-17,Island,09:30–15:30,"SUOMENLINNA. HSL ferry from east side of Kauppatori (by Presidential Palace), ~15 min, route 19. AB ticket covers it (adult single €3.30 on hsl.fi 15 Aug — VERIFY). Blue Route to King's Gate. Picnic. Not Vallisaari.",Suomenlinna,Island café / picnic. Not a destination restaurant day.,HSL app BEFORE the pier. Optional English tour 10:30/12:30/14:30 €16,If storm: swap with Tue museums,No fortress entrance fee. Last ferries run late; still don't cut dinner.
2 Mon,2026-08-17,Evening,17:30–21:00,"KATANA RAMEN, Telakkakatu 12 — dedicated ramen after Momotoko died. Falstaff lists Mon–Sat 11–21, Sunday omitted → VERIFY, likely closed Sun so TODAY is the ramen day. Or Kallio walk + Nepalese.",Punavuori / Telakka or Kallio,Tonkotsu at Katana; or dal/momo in Kallio,Walk-in likely. Georgian Supra closed Monday (TableOnline — VERIFY).,Bui Ramen is real but Kalasatama (Aallonhalkoja 1). Ichiraku Kamppi 5F = emergency mall bowl.,Momotoko is CLOSED. Do not go to Yliopistonkatu 5.
3 Tue,2026-08-18,Design,11:00–16:00,"ARCHITECTURE & DESIGN MUSEUM, Korkeavuorenkatu 23. Weekdays 11–20. Square construction from 3 Aug 2026; doors still open. Then Design District drift (shops, not souvenirs).",Kaartinkaupunki / Punavuori,"Lunch: Levain Ullanlinna, Korkeavuorenkatu 21, daily 8–16. Or Gaijin if lunch has resumed after 17 Aug — VERIFY.",Museum ticket admuseo.fi (18–29 €6 official),Ateneum if you want Nationalmuseum analogue (Tue 10–18),AMOS REX CLOSED TODAY. Do not show up.
3 Tue,2026-08-18,Dinner,17:30–22:00,"NOLLA, Fredrikinkatu 22. Zero-waste Nordic, Bib Gourmand. Closed Sun–Mon so TUE is the first night it opens for you. Confirm hours + price in the booker (official site does not print a hours table).",Punavuori,Chef's Choice / seasonal,BOOK https://restaurantnolla.com/reservations/,Sea Horse Kapteeninkatu 11 daily 15–24; Kosmos Kalevankatu 3 Mon–Fri 11:30–24,This is the AG-equivalent 'better cooking' without blowing €188.
4 Wed,2026-08-19,Sauna,13:00–16:00,"LÖYLY, Hernesaarenranta 4. Official sauna Wed 9–11 & 13–22. €29 / 2 h inc towel (official). Swimwear required in mixed areas (€8 rental). Swim weather-dependent. Book a 2-hour slot.",Hernesaari,"Löyly kitchen Mon–Sat 11–23 — salmon soup after, not a second fine dining",BOOK varaus.asio.fi Löyly calendar,"Allas Sea Pool, Katajanokanlaituri 2A, Mon–Thu 6:30–21",24h cancel. Flip-flops help. Architecture you can sit in.
4 Wed,2026-08-19,Dinner,17:00–22:00,"GRÖN, Albertinkatu 36 — YOUR ONLY NIGHT (closed Sun–Tue). Official summer 2026 menu 188e (omnivore or vegan preorder). Else Latitude 25 omakase (Albertinkatu 19, Wed–Thu 17–21:30) or Shii (Fabianinkatu 17, 16 seats, not vegetarian).",Punavuori,Grön set 188e / Latitude omakase / Shii 11-course,BOOK DinnerBooking Grön; latitude25.fi; shii.fi — take whichever confirms,Nolla if you saved it; Gaijin; Sea Horse,Olo/Palace/Finnjävel blow more. Finnjävel Tue–Sat; skip unless you decide to.
5 Thu,2026-08-20,Buffer,09:00–12:30,Easy. Ateneum is FREE today 10:00–20:00 (official free-admission day) — only if YOUR departure mode allows. Or Oodi reprise. Do NOT start Suomenlinna. Night of the Arts starts after you leave.,Centre,Coffee + pulla. No heavy lunch if flying.,No paid booking needed for Ateneum today,If 15:00 is a FERRY: be at terminal with YOUR ticket's boarding rule. If AIRPORT: leave the centre with YOUR transfer time.,"Amos Rex 11–23 tonight — you miss it. ADM architecture walk 15:00 today — collision, do not book."
5 Thu,2026-08-20,Leave,by 15:00,Out. Confirm mode on YOUR ticket.,—,Airport / terminal food only as emergency,—,—,Do not cut boarding like the Stockholm kiosk lesson.
