ID,What,URL,Accessed,Confidence
S-ekberg,Ekberg hours + brunch + reservation rules,https://www.ekberg.fi/,2026-08-15,High — official
S-ekberg-book,Ekberg table reservation,https://www.ekberg.fi/en/cafe/table-reservation,2026-08-15,High — official
S-fazer,Fazer Café Kluuvikatu hours,https://www.fazer.fi/fazer-cafe/kahvilat/karl-fazer-cafe/,2026-08-15,High — official café hours; brunch sitting VERIFY
S-gk,Georgian Kitchen hours + phone,https://www.georgiankitchen.fi/,2026-08-15,High — official
S-rioni,Rioni Helsinki hours,https://www.rioni.fi/en-gb/helsinki,2026-08-15,High — official
S-supra,Georgian Supra address,https://www.georgiansupra.fi/contact,2026-08-15,High address; hours secondary
S-gaijin,Gaijin hours + summer lunch closure,https://www.gaijin.fi/contact,2026-08-15,High — official
S-nolla,Nolla reservations,https://restaurantnolla.com/reservations/,2026-08-15,High booker; hours not on official page
S-gron-menu,Grön summer 2026 menu 188e,https://www.restaurantgron.com/menu,2026-08-15,High — official
S-gron-book,Grön DinnerBooking,https://dinnerbooking.com/fi/en-US/r3904/restaurant-gron,2026-08-15,High — official booker
S-lat25,Latitude 25 hours,https://www.latitude25.fi/,2026-08-15,High — official
S-shii,Shii concept + phone,https://shii.fi/,2026-08-15,High concept; hours missing
S-seahorse,Sea Horse summer hours,https://www.seahorse.fi/en/restaurant-sea-horse/,2026-08-15,High — official
S-kosmos,Kosmos hours + menu,https://kosmos.fi/en/our-food/,2026-08-15,High — official
S-elite,Elite hours,https://elite.fi/en/front-page/,2026-08-15,High — official
S-bui,Bui Ramen hours + prices,https://buiramen.fi/,2026-08-15,High — official
S-levain,Levain branch hours,https://www.levain.fi/reservation,2026-08-15,High — official
S-loyly,Löyly sauna price + rules,https://www.loylyhelsinki.fi/en/public-sauna,2026-08-15,High — official
S-loyly-h,Löyly weekly hours,https://www.loylyhelsinki.fi/en/info,2026-08-15,High — official
S-rex,Amos Rex hours,https://amosrex.fi/en/visit-us/,2026-08-15,High — official
S-rex-t,Amos Rex tickets,https://amosrex.fi/en/tickets/,2026-08-15,High — official
S-adm,ADM hours + construction,https://admuseo.fi/en/visit-us/,2026-08-15,High — official
S-oodi,Oodi hours 2026,https://oodihelsinki.fi/en/arrival/,2026-08-15,High — official
S-hsl,HSL Suomenlinna ferry,https://www.hsl.fi/en/travelling/visitors/suomenlinna,2026-08-15,High — official; fare can move
S-sl-arr,Suomenlinna arriving,https://suomenlinna.fi/en/explore/arriving/,2026-08-15,High — official
S-sl-tour,English guided tour 2026,https://suomenlinna.johku.com/en_US/liput/guided-walking-tour-in-english,2026-08-15,High schedule; inventory unknown
S-ateneum,Ateneum hours + free 20 Aug,https://ateneum.fi/en/opening-hours-and-tickets/,2026-08-15,High — official
S-allas,Allas hours,https://allasseapool.fi/en/,2026-08-15,High — official
S-momo,Momotoko bankruptcy,https://www.hs.fi/helsinki/art-2000011230551.html,2025-05-15,"High — local press, closure status"
S-katana,Katana hours (Falstaff),https://www.falstaff.com/at/streetfood/katana-ramen-restaurant,2026-08-15,"Medium — secondary, no official hours page"
