Name,Type,Time,Book?,Hours / catch this week,URL,Fit vs Stockholm,Must,Price if official
Amos Rex,Museum,2–3 h,Ticket,Closed Tue. Sun 11–17. Night of Arts 20 Aug 11–23 (you miss). Generation 2026: 13 May–6 Sep 2026.,https://amosrex.fi/en/visit-us/,Fotografiska / Moderna analogue,YES Sun,Door €22 / online €20; 18–29 & students €5
Architecture & Design Museum,Museum,2–3 h,Ticket,Mon–Fri 11–20; Sat–Sun 11–18. Square construction from 3 Aug 2026; doors open. Night of Arts 20 Aug 11–22 (you miss).,https://admuseo.fi/en/visit-us/,ArkDes analogue,YES Tue,Adults €23; 18–29 €6
Oodi,Library / architecture,45–90 min,Free,Mon–Fri 8–21; Sat–Sun 10–20. No 16–20 Aug exception on the 2026 list.,https://oodihelsinki.fi/en/arrival/,Civic design,YES,Free
Suomenlinna,UNESCO fortress island,4–5 h,HSL ferry,"Ferry Kauppatori east side ~15 min, route 19. AB ticket. Blue Route to King's Gate. No entrance fee.",https://suomenlinna.fi/en/explore/arriving/,Vasa-scale object that is also a neighbourhood,YES Mon,HSL AB single €3.30 on 15 Aug page — VERIFY
Löyly public sauna,Sauna + architecture,2 h slot,Book,Wed 9–11 & 13–22. Swimwear mixed. Swim weather-dependent. Hernesaarenranta 4.,https://www.loylyhelsinki.fi/en/public-sauna,A building you can sit in,YES Wed,€29 / 2 h inc towel; extra hour €12; swimwear rental €8
Ateneum,Art museum,2 h,Ticket / free Thu,Jul–Aug open daily. Sun 10–17; Mon 11–17; Tue 10–18; Wed–Thu 10–20. FREE Thu 20 Aug 10–20.,https://ateneum.fi/en/opening-hours-and-tickets/,Nationalmuseum analogue,Optional Thu morning,Door €23 / online €21; free 20 Aug
Allas Sea Pool,Swim / sauna backup,up to 3 h ticket,Ticket,"Mon–Thu 6:30–21. Katajanokanlaituri 2A. More central, less architecture.",https://allasseapool.fi/en/,Backup sauna,Backup,Weekend single €17 official; weekday VERIFY
Temppeliaukio,Church,20 min,Door ticket,"Hours change with services; check the week. Sunday 10:00 is worship, not sightseeing.",https://www.temppeliaukiochurch.fi/en/index/nimi.html,Photo only,No,Adult €8 official
Helsinki Cathedral / Senate Square,Postcard,15 min pass-through,No,On the walk from harbour — not a day,—,Orientation only,Pass by,—
Seurasaari,Open-air museum,half day,—,Skansen analogue — you skipped Skansen,—,Skip this trip,No,—
Night of the Arts,City-wide,evening 20 Aug,Many free,Confirmed Thu 20 Aug 2026. You leave 15:00.,https://helsinkifestival.fi/taiteidenyo/en/instructions-for-event-organisers/,FOMO only,Miss,—
